ID;dteday;hr;weathersit;temp;atemp;hum;windspeed;season;casual
0;01/01/2011;0;Clear, Few clouds, Partly cloudy, Partly cloudy;0,24;0,2879;0,81;0;;3
10005;26/02/2012;22;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,2879;0,42;0,2239;;3
10007;27/02/2012;0;Clear, Few clouds, Partly cloudy, Partly cloudy;0,26;0,2424;0,6;0,2537;;2
10012;27/02/2012;5;Clear, Few clouds, Partly cloudy, Partly cloudy;0,22;0,2273;0,8;0,1343;;0
10018;27/02/2012;11;Clear, Few clouds, Partly cloudy, Partly cloudy;0,36;0,3333;0,43;0,2537;;11
1002;14/02/2011;10;Clear, Few clouds, Partly cloudy, Partly cloudy;0,44;0,4394;0,33;0,2239;;9
10021;27/02/2012;14;Clear, Few clouds, Partly cloudy, Partly cloudy;0,46;0,4545;0,36;0,2836;;24
10024;27/02/2012;17;Clear, Few clouds, Partly cloudy, Partly cloudy;0,54;0,5152;0,24;0,4478;;26
10025;27/02/2012;18;Clear, Few clouds, Partly cloudy, Partly cloudy;0,52;0,5;0,27;0,4179;;10
10026;27/02/2012;19;Clear, Few clouds, Partly cloudy, Partly cloudy;0,5;0,4848;0,29;0,3881;;16
10032;28/02/2012;1;Clear, Few clouds, Partly cloudy, Partly cloudy;0,38;0,3939;0,62;0,1642;;0
10034;28/02/2012;3;Clear, Few clouds, Partly cloudy, Partly cloudy;0,4;0,4091;0,32;0,3582;;0
10035;28/02/2012;4;Clear, Few clouds, Partly cloudy, Partly cloudy;0,32;0,2879;0,42;0,3582;;0
10036;28/02/2012;5;Clear, Few clouds, Partly cloudy, Partly cloudy;0,32;0,2879;0,42;0,3582;;1
10038;28/02/2012;7;Clear, Few clouds, Partly cloudy, Partly cloudy;0,28;0,2576;0,45;0,2985;;12
1004;14/02/2011;12;Clear, Few clouds, Partly cloudy, Partly cloudy;0,56;0,5303;0,22;0,4478;;27
10041;28/02/2012;10;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,2727;0,42;0,2985;;14
10044;28/02/2012;13;Clear, Few clouds, Partly cloudy, Partly cloudy;0,36;0,3636;0,32;0,1045;;16
10048;28/02/2012;17;Clear, Few clouds, Partly cloudy, Partly cloudy;0,42;0,4242;0,26;0,0896;;33
1005;14/02/2011;13;Clear, Few clouds, Partly cloudy, Partly cloudy;0,58;0,5455;0,19;0,3881;;27
10051;28/02/2012;20;Clear, Few clouds, Partly cloudy, Partly cloudy;0,4;0,4091;0,3;0,1343;;2
10056;29/02/2012;1;Clear, Few clouds, Partly cloudy, Partly cloudy;0,32;0,3333;0,49;0,1045;;0
10057;29/02/2012;2;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,2879;0,56;0,2239;;0
10059;29/02/2012;5;Clear, Few clouds, Partly cloudy, Partly cloudy;0,26;0,2879;0,75;0,0896;;0
1006;14/02/2011;14;Clear, Few clouds, Partly cloudy, Partly cloudy;0,6;0,5909;0,15;0,4925;;14
10062;29/02/2012;8;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,28;0,2879;0,75;0,1045;;2
10067;29/02/2012;13;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,36;0,3333;0,93;0,3582;;4
10069;29/02/2012;15;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,4;0,4091;0,82;0,2836;;3
10071;29/02/2012;17;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,4;0,4091;0,87;0,1642;;7
10080;01/03/2012;2;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,46;0,4545;0,94;0,2836;;0
10083;01/03/2012;5;Clear, Few clouds, Partly cloudy, Partly cloudy;0,48;0,4697;0,88;0,1642;;0
10084;01/03/2012;6;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,42;0,4242;0,94;0;;2
10085;01/03/2012;7;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,44;0,4394;0,94;0,1343;;8
10086;01/03/2012;8;Clear, Few clouds, Partly cloudy, Partly cloudy;0,42;0,4242;0,94;0,1343;;15
10087;01/03/2012;9;Clear, Few clouds, Partly cloudy, Partly cloudy;0,46;0,4545;0,77;0,2537;;5
10089;01/03/2012;11;Clear, Few clouds, Partly cloudy, Partly cloudy;0,56;0,5303;0,43;0,194;;19
10092;01/03/2012;14;Clear, Few clouds, Partly cloudy, Partly cloudy;0,58;0,5455;0,35;0,2239;;37
10097;01/03/2012;19;Clear, Few clouds, Partly cloudy, Partly cloudy;0,48;0,4697;0,41;0,3284;;11
10098;01/03/2012;20;Clear, Few clouds, Partly cloudy, Partly cloudy;0,44;0,4394;0,44;0,4179;;12
101;05/01/2011;10;Clear, Few clouds, Partly cloudy, Partly cloudy;0,22;0,197;0,37;0,3284;;4
1010;14/02/2011;18;Clear, Few clouds, Partly cloudy, Partly cloudy;0,4;0,4091;0,4;0,6119;;11
10100;01/03/2012;22;Clear, Few clouds, Partly cloudy, Partly cloudy;0,38;0,3939;0,5;0,2537;;3
10107;02/03/2012;5;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,3333;0,7;0;;0
10108;02/03/2012;6;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,3333;0,7;0;;4
10109;02/03/2012;7;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,3333;0,7;0;;4
1011;14/02/2011;19;Clear, Few clouds, Partly cloudy, Partly cloudy;0,38;0,3939;0,43;0,4925;;12
10111;02/03/2012;9;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,3333;0,81;0;;15
10113;02/03/2012;11;Clear, Few clouds, Partly cloudy, Partly cloudy;0,38;0,3939;0,46;0,194;;40
10114;02/03/2012;12;Clear, Few clouds, Partly cloudy, Partly cloudy;0,4;0,4091;0,43;0,1642;;40
10115;02/03/2012;13;Clear, Few clouds, Partly cloudy, Partly cloudy;0,42;0,4242;0,44;0,2239;;31
10117;02/03/2012;15;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,42;0,4242;0,5;0,2985;;5
10119;02/03/2012;17;Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds;0,36;0,3485;0,81;0,2239;;5
10121;02/03/2012;19;Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds;0,36;0,3485;0,87;0,194;;12
10124;02/03/2012;22;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,36;0,3788;0,87;0;;6
10132;03/03/2012;6;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,36;0,3636;0,93;0,0896;;1
10141;03/03/2012;15;Clear, Few clouds, Partly cloudy, Partly cloudy;0,48;0,4697;0,29;0,2985;;145
10146;03/03/2012;20;Clear, Few clouds, Partly cloudy, Partly cloudy;0,44;0,4394;0,3;0,1343;;28
10151;04/03/2012;1;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,38;0,3939;0,34;0,194;;16
10154;04/03/2012;4;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,34;0,3333;0,46;0,194;;3
10156;04/03/2012;6;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,3;0,2727;0,52;0,2985;;0
10159;04/03/2012;9;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,2727;0,49;0,4478;;14
10162;04/03/2012;12;Clear, Few clouds, Partly cloudy, Partly cloudy;0,34;0,303;0,42;0,3582;;71
10166;04/03/2012;16;Clear, Few clouds, Partly cloudy, Partly cloudy;0,36;0,3182;0,29;0,4925;;68
10168;04/03/2012;18;Clear, Few clouds, Partly cloudy, Partly cloudy;0,32;0,2727;0,33;0,6119;;20
10170;04/03/2012;20;Clear, Few clouds, Partly cloudy, Partly cloudy;0,28;0,2727;0,38;0,2537;;8
10174;05/03/2012;0;Clear, Few clouds, Partly cloudy, Partly cloudy;0,24;0,2273;0,44;0,194;;2
10175;05/03/2012;1;Clear, Few clouds, Partly cloudy, Partly cloudy;0,24;0,2424;0,48;0,1343;;3
1018;15/02/2011;2;Clear, Few clouds, Partly cloudy, Partly cloudy;0,28;0,2273;0,41;0,6866;;1
10184;05/03/2012;10;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,24;0,2576;0,6;0;;12
10186;05/03/2012;12;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,26;0,303;0,52;0;;15
10187;05/03/2012;13;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,26;0,2576;0,55;0,2985;;11
10190;05/03/2012;16;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,2727;0,45;0,2985;;30
10191;05/03/2012;17;Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds;0,3;0,2727;0,45;0,2985;;11
10192;05/03/2012;18;Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds;0,28;0,2273;0,55;0,6567;;12
10194;05/03/2012;20;Clear, Few clouds, Partly cloudy, Partly cloudy;0,26;0,2273;0,37;0,4627;;8
10198;06/03/2012;0;Clear, Few clouds, Partly cloudy, Partly cloudy;0,22;0,2121;0,37;0,2985;;0
10199;06/03/2012;1;Clear, Few clouds, Partly cloudy, Partly cloudy;0,2;0,197;0,44;0,2537;;0
102;05/01/2011;11;Clear, Few clouds, Partly cloudy, Partly cloudy;0,26;0,2273;0,33;0,3284;;12
1020;15/02/2011;5;Clear, Few clouds, Partly cloudy, Partly cloudy;0,22;0,1818;0,32;0,4627;;0
10200;06/03/2012;2;Clear, Few clouds, Partly cloudy, Partly cloudy;0,2;0,197;0,44;0,2239;;0
10203;06/03/2012;5;Clear, Few clouds, Partly cloudy, Partly cloudy;0,18;0,1818;0,51;0,2239;;0
10206;06/03/2012;8;Clear, Few clouds, Partly cloudy, Partly cloudy;0,16;0,1818;0,59;0,1045;;14
10208;06/03/2012;10;Clear, Few clouds, Partly cloudy, Partly cloudy;0,24;0,2576;0,44;0;;16
10212;06/03/2012;14;Clear, Few clouds, Partly cloudy, Partly cloudy;0,32;0,303;0,36;0,2239;;20
10214;06/03/2012;16;Clear, Few clouds, Partly cloudy, Partly cloudy;0,36;0,3333;0,32;0,2836;;22
10215;06/03/2012;17;Clear, Few clouds, Partly cloudy, Partly cloudy;0,36;0,3333;0,34;0,2836;;21
10216;06/03/2012;18;Clear, Few clouds, Partly cloudy, Partly cloudy;0,34;0,303;0,42;0,3284;;15
