VENDEDOR,CLIENTE,PRODUTO,QUANTIDADE,UNIDADE_MEDIDA_NF,PREÇO_NF,DATA_NF,CRP_AJUSTADO,VLR_PRECO_LISTA,VLR_CONTRIBUICAO
380,38797,254,30155,KGS,"10,795",6/19/2010,"5,29","12,88",  166.092 
379,36022,963,13149,KGS,"5,78",5/23/2010,"3,32","6,06",  32.362 
385,23397,1158,4602,KGS,"11,3",3/8/2010,"7,87","14,40",  15.771 
422,15430,112,13850,KGS,"3,926",4/26/2010,"3,91","7,15",  197 
380,6319,69,5347,KGS,"44,39",8/24/2009,"4,11","10,01",  215.380 
344,37,1521,10098,KGS,"25,831",8/29/2010,"16,75","36,01",  91.694 
389,2345,1044,1753,KGS,"23,79",5/21/2010,"21,06","38,50",  4.790 
389,2345,1044,1490,KGS,"25,194",6/18/2010,"22,31","40,77",  4.298 
401,24596,1476,4207,KGS,"33,436",12/26/2009,"22,32","45,32",  46.775 
318,4428,1365,14323,KGS,"20,432",9/9/2010,"10,35","29,11",  144.379 
328,7011,193,26298,KGS,"5,343",12/12/2009,"3,50","9,14",  48.467 
318,12050,411,17532,KGS,"33,93",1/24/2010,"20,43","43,94",  236.651 
318,4428,1365,12324,KGS,"14,521",10/1/2009,"9,20","22,44",  65.591 
318,12050,411,17532,KGS,"30,953",3/8/2009,"18,66","39,68",  215.500 
380,34301,104,1402,KGS,"1,3",2/15/2010,"6,20","11,55",  (6.871)
389,2345,1044,2629,KGS,"26,806",3/8/2010,"18,64","37,18",  21.456 
318,12050,411,17532,KGS,"34,619",12/10/2009,"20,75","42,14",  243.100 
318,17374,411,14025,KGS,"31,889",4/2/2009,"19,23","38,61",  177.551 
318,17374,411,12272,KGS,"34,138",5/14/2009,"20,60","43,79",  166.182 
318,12050,411,12272,KGS,"30,134",2/6/2009,"18,21","38,67",  146.353 
430,23385,29,8766,KGS,"8,437",7/19/2010,"5,62","11,40",  24.725 
318,26292,1596,8766,KGS,"3,978",6/7/2010,"2,99","4,96",  8.666 
344,7233,31,23282,KGS,"6,539",10/22/2009,"4,08","8,22",  57.141 
344,7233,31,23089,KGS,"6,539",10/24/2009,"4,08","8,24",  56.667 
380,27222,75,10519,KGS,"2,158",1/12/2009,"1,74","3,00",  4.422 
413,7797,37,4838,KGS,"8,918",12/28/2009,"6,19","13,33",  13.184 
318,11732,1186,876,KGS,"103,389",8/13/2010,"65,87","120,38",  32.870 
318,12050,411,8766,KGS,"31,239",1/16/2009,"18,87","40,08",  108.452 
318,4428,1365,6329,KGS,"14,469",9/20/2009,"9,17","22,37",  33.511 
389,22534,411,2892,KGS,"31,837",7/24/2009,"20,13","36,79",  33.865 
401,23527,1173,657,KGS,"72,93",3/30/2009,"48,65","109,90",  15.949 
318,37115,345,175,KGS,"41,119",6/13/2009,"45,54","138,72",  (774)
324,30691,76,1051,KGS,"19,617",8/16/2010,"15,06","26,74",  4.787 
401,24596,1476,1928,KGS,"30,563",5/21/2009,"19,81","39,70",  20.724 
401,24596,1476,1928,KGS,"30,537",5/31/2009,"19,80","39,65",  20.705 
318,24552,1335,175,KGS,"227,695",7/16/2009,"154,04","331,25",  12.889 
318,24552,1335,175,KGS,"226,447",7/23/2009,"153,20","329,44",  12.818 
401,24596,1476,1928,KGS,"29,783",5/11/2009,"19,31","38,68",  20.189 
318,24552,1335,175,KGS,"222,716",7/3/2009,"150,66","324,00",  12.609 
371,12801,194,2805,KGS,"5,759",7/16/2009,"4,55","7,74",  3.380 
371,12801,4,3506,KGS,"6,331",9/18/2009,"4,64","9,42",  5.941 
401,24596,1476,2454,KGS,"28,691",4/20/2009,"18,18","32,76",  25.806 
425,13254,1359,1577,KGS,"17,186",5/9/2010,"12,10","29,49",  8.024 
401,24596,1476,1928,KGS,"31,577",6/28/2009,"20,19","41,01",  21.948 
425,13254,1359,1577,KGS,"16,978",4/16/2010,"11,96","26,23",  7.917 
425,13254,1359,1577,KGS,"16,952",4/15/2010,"11,94","26,18",  7.902 
431,25174,192,2191,KGS,"11,349",9/9/2010,"8,06","16,37",  7.201 
328,35157,41,7757,KGS,"9,126",2/9/2009,"5,75","12,20",  26.201 
401,23527,1092,438,KGS,"33,943",6/29/2009,"26,50","48,43",  3.260 
318,4428,1365,4330,KGS,"14,482",10/8/2009,"9,17","22,37",  22.983 
371,12801,4,3506,KGS,"6,344",9/4/2009,"4,54","8,07",  6.333 
318,4428,1365,6995,KGS,"12,818",2/21/2010,"7,93","22,31",  34.187 
401,24596,1092,438,KGS,"29,588",4/2/2009,"23,47","42,31",  2.679 
326,19996,1510,3506,KGS,"5,434",6/3/2010,"3,94","6,69",  5.221 
318,19680,7,1753,KGS,"6,448",2/15/2010,"5,29","7,81",  2.035 
437,16209,1569,3506,KGS,"7,969",10/1/2010,"5,43","11,01",  8.912 
318,12050,411,5259,KGS,"32,708",4/19/2009,"19,72","41,93",  68.285 
389,2345,411,1753,KGS,"33,28",5/24/2009,"21,02","41,66",  21.484 
389,2345,411,1753,KGS,"32,11",5/31/2009,"20,28","40,17",  20.746 
389,2345,411,1753,KGS,"31,941",5/17/2009,"20,17","39,97",  20.638 
389,2345,411,1753,KGS,"31,304",5/10/2009,"19,76","39,17",  20.228 
318,11732,1186,438,KGS,"109,967",8/22/2010,"70,05","128,04",  17.484 
389,2345,411,1753,KGS,"30,823",5/4/2009,"19,47","38,57",  19.905 
318,11732,1186,438,KGS,"107,224",8/19/2010,"68,30","124,85",  17.047 
